Library	License	Homepage	About	Memo
3fd			C++ Framework For Fast Development	
7zip	LGPL-2.1-or-later	https://www.7-zip.org	Library for archiving file with a high compression ratio.	
ableton	GPL-2.0-or-later	https://www.ableton.com/en/link/	Meta-package for transitioning to abletonlink port.	
ableton-link	GPL-2.0-or-later	https://www.ableton.com/en/link/	Ableton Link, a technology that synchronizes musical beat, tempo, and phase across multiple applications running on one or more devices.	
abseil	Apache-2.0	https://github.com/abseil/abseil-cpp	['an open-source collection designed to augment the C++ standard library.', "Abseil is an open-source collection of C++ library code designed to augment the C++ standard library. The Abseil library code is collected from Google's own C++ code base, has been extensively tested and used in production, and is the same code we depend on in our daily coding lives.", "In some cases, Abseil provides pieces missing from the C++ standard; in others, Abseil provides alternatives to the standard for special needs we've found through usage in the Google code base. We denote those cases clearly within the library code we provide you.", "Abseil is not meant to be a competitor to the standard library; we've just found that many of these utilities serve a purpose within our code base, and we now want to provide those resources to the C++ community as a whole."]	
absent		https://github.com/rvarago/absent	A small C++17 library meant to simplify the composition of nullable types in a generic, type-safe, and declarative way	
ace	DOC	https://github.com/DOCGroup/ACE_TAO	The ADAPTIVE Communication Environment	
acl	LGPL-2.1-or-later	https://savannah.nongnu.org/projects/acl	Commands for Manipulating POSIX Access Control Lists	
activemq-cpp	Apache-2.0		Apache ActiveMQ is the most popular and powerful open source messaging and Integration Patterns server.	
ade			ADE Framework is a graph construction, manipulation, and processing framework. ADE Framework is suitable for organizing data flow processing and execution.	
adios2	Apache-2.0	https://github.com/ornladios/ADIOS2	Next generation of ADIOS developed in the Exascale Computing Program	
advobfuscator			Obfuscation library based on C++11/14 and metaprogramming	
air-ctl	BSL-1.0	https://github.com/inie0722/CTL	C template container library	
aixlog	MIT	https://github.com/badaix/aixlog	Header-only C++ logging library	
akali	MIT	https://github.com/winsoft666/akali	C++ Common Library.	
alac		https://github.com/macosforge/alac	The Apple Lossless Audio Codec (ALAC) is a lossless audio codec developed by Apple and deployed on all of its platforms and devices.	
alac-decoder		https://distfiles.macports.org/alac_decoder	ALAC C implementation of a decoder, written from reverse engineering the file format	
alembic		https://alembic.io/	Alembic is an open framework for storing and sharing scene data that includes a C++ library, a file format, and client plugins and applications.	
aliyun-oss-c-sdk			Alibaba Cloud Object Storage Service (OSS) is a cloud storage service provided by Alibaba Cloud, featuring massive capacity, security, a low cost, and high reliability.	
allegro5	BSD-3-Clause AND Zlib	https://github.com/liballeg/allegro5	Allegro is a cross-platform library mainly aimed at video game and multimedia programming. It handles common, low-level tasks such as creating windows, accepting user input, loading data, drawing images, playing sounds, etc. and generally abstracting away the underlying platform. However, Allegro is not a game engine: you are free to design and structure your program as you like.	
alpaca	MIT	https://github.com/p-ranav/alpaca	Alpaca is a serialization library written in C++17 - Pack C++ structs into a compact byte-array without any macros or boilerplate code	
alpaka	MPL-2.0	https://github.com/alpaka-group/alpaka	The alpaka library is a header-only abstraction library for accelerator development	
alsa	LGPL-2.1-or-later	https://www.alsa-project.org/	The Advanced Linux Sound Architecture (ALSA) - library	
amd-amf	MIT	https://github.com/GPUOpen-LibrariesAndSDKs/AMF	AMD Advanced Media Framework headers	
ampl-asl	None	https://github.com/ampl/asl	AMPL Solver Library	
ampl-mp		https://github.com/ampl/mp	An open-source library for mathematical programming	
amqpcpp		https://github.com/CopernicaMarketingSoftware/AMQP-CPP	AMQP-CPP is a C++ library for communicating with a RabbitMQ message broker	
anax	MIT	https://github.com/miguelmartin75/anax	An open source C++ entity system.	
angelscript	Zlib	https://angelcode.com/angelscript	The AngelCode Scripting Library, or AngelScript as it is also known, is an extremely flexible cross-platform scripting library designed to allow applications to extend their functionality through external scripts. It has been designed from the beginning to be an easy to use component, both for the application programmer and the script writer.	
angle	BSD-3-Clause	https://github.com/google/angle	['A conformant OpenGL ES implementation for Windows, Mac and Linux.', 'The goal of ANGLE is to allow users of multiple operating systems to seamlessly run WebGL and other OpenGL ES content by translating OpenGL ES API calls to one of the hardware-supported APIs available for that platform. ANGLE currently provides translation from OpenGL ES 2.0 and 3.0 to desktop OpenGL, OpenGL ES, Direct3D 9, and Direct3D 11. Support for translation from OpenGL ES to Vulkan is underway, and future plans include compute shader support (ES 3.1) and MacOS support.']	
antlr4	BSD-3-Clause	https://www.antlr.org	ANother Tool for Language Recognition	
any-lite			A C++17-like any, a type-safe container for single values of any type for C++98, C++11 and later in a single-file header-only library	
anyrpc		https://github.com/sgieseking/anyrpc	A multiprotocol remote procedure call system for C++.	
aom	BSD-2-Clause	https://aomedia.googlesource.com/aom	AV1 codec library	
approval-tests-cpp		https://github.com/approvals/ApprovalTests.cpp	Approval Tests allow you to verify a chunk of output (such as a file) in one operation as opposed to writing test assertions for each element.	
apr	Apache-2.0	https://apr.apache.org/	The Apache Portable Runtime (APR) is a C library that forms a system portability layer that covers many operating systems.	
apr-util	Apache-2.0	https://apr.apache.org/	Apache Portable Runtime (APR) project  mission is to create and maintain software libraries that provide a predictable and consistent interface to underlying platform-specific implementation	
apsi	MIT	https://github.com/microsoft/APSI	APSI is a research library for asymmetric private set intersection.	
arb	LGPL-2.1	https://github.com/fredrik-johansson/arb	a C library for arbitrary-precision interval arithmetic	
arcus		https://github.com/Ultimaker/libArcus	This library contains C++ bindings for creating a socket in a thread and using this socket to send and receive messages based on the Protocol Buffers library.	
arg-router	BSL-1.0	https://github.com/cmannett85/arg_router	C++ command line argument parsing and routing.	
argagg			A simple C++11 command line argument parser	
argh	BSD-3-Clause	https://github.com/adishavit/argh	Argh! A minimalist argument handler.	
argon2	Apache-2.0 OR CC0-1.0	https://github.com/P-H-C/phc-winner-argon2	Password-hashing library.	
argparse	MIT	https://github.com/p-ranav/argparse	Argument parser for modern C++	
args	MIT	https://github.com/Taywee/args	A simple header-only C++ argument parser library.	
argtable2	LGPL-2.0-only	http://argtable.sourceforge.net	Argtable is an ANSI C library for parsing GNU style command line options with a minimum of fuss.	
argtable3	BSD-2-Clause-NetBSD AND TCL	https://www.argtable.org/	A single-file, ANSI C, command-line parsing library that parses GNU-style command-line options	
argumentum		https://github.com/mmahnic/argumentum	A C++17 command line argument parser inspired by Python argparse	
aricpp	BSL-1.0	https://github.com/daniele77/aricpp	Asterisk ARI interface bindings for modern C++	
armadillo	Apache-2.0	http://arma.sourceforge.net	Armadillo is a high quality linear algebra library (matrix maths) for the C++ language, aiming towards a good balance between speed and ease of use	
arrayfire	BSD-3-Clause	https://github.com/arrayfire/arrayfire	ArrayFire is a general-purpose library that simplifies the process of developing software that targets parallel and massively-parallel architectures including CPUs, GPUs, and other hardware acceleration devices.	
arrow	Apache-2.0	https://arrow.apache.org	Cross-language development platform for in-memory analytics	
ashes	MIT	https://github.com/DragonJoker/Ashes	Drop-in replacement to Vulkan's shared library, allowing the use of OpenGL or Direct3D11 in addition to Vulkan.	
asio	BSL-1.0	https://github.com/chriskohlhoff/asio	Asio is a cross-platform C++ library for network and low-level I/O programming that provides developers with a consistent asynchronous model using a modern C++ approach.	
asio-grpc	Apache-2.0	https://github.com/Tradias/asio-grpc	Asynchronous gRPC with Asio/unified executors	
